id,x,y,z,timestamp
284,0.49,0.12,-0.24,2025-09-26T18:29:51.255977
285,0.55,0.12,-0.24,2025-09-26T18:29:51.555493
286,0.49,0.06,-0.18,2025-09-26T18:29:51.559726
287,0.55,0.12,-0.24,2025-09-26T18:29:51.864092
288,0.55,0.12,-0.24,2025-09-26T18:29:52.169532
289,0.49,0.12,-0.24,2025-09-26T18:29:52.174500
290,0.49,0.12,-0.24,2025-09-26T18:29:52.479047
291,0.49,0.06,-0.24,2025-09-26T18:29:52.784486
292,0.55,0.12,-0.18,2025-09-26T18:29:52.789082
293,0.55,0.06,-0.18,2025-09-26T18:29:53.091765
294,0.55,0.12,-0.24,2025-09-26T18:29:53.401306
295,0.49,0.06,-0.24,2025-09-26T18:29:53.414490
296,0.55,0.06,-0.24,2025-09-26T18:29:53.709918
297,0.49,0.12,-0.24,2025-09-26T18:29:54.014893
298,0.55,0.06,-0.24,2025-09-26T18:29:54.018623
299,0.55,0.12,-0.24,2025-09-26T18:29:54.321149
300,0.55,0.12,-0.24,2025-09-26T18:29:54.690790
301,0.55,0.06,-0.18,2025-09-26T18:29:54.693978
302,0.55,0.12,-0.24,2025-09-26T18:29:54.955611
303,0.55,0.12,-0.24,2025-09-26T18:29:55.387109
304,0.55,0.06,-0.24,2025-09-26T18:29:55.389665
305,0.55,0.12,-0.24,2025-09-26T18:29:55.715784
306,0.55,0.12,-0.24,2025-09-26T18:29:55.733100
307,0.55,0.12,-0.24,2025-09-26T18:29:55.983645
308,0.55,0.06,-0.24,2025-09-26T18:29:56.324642
309,0.55,0.12,-0.24,2025-09-26T18:29:56.327020
310,0.55,0.12,-0.24,2025-09-26T18:29:56.626620
311,0.55,0.12,-0.24,2025-09-26T18:29:56.630624
312,0.55,0.12,-0.24,2025-09-26T18:29:56.982363
313,0.49,0.12,-0.24,2025-09-26T18:29:57.241421
314,0.55,0.12,-0.24,2025-09-26T18:29:57.244699
315,0.55,0.12,-0.24,2025-09-26T18:29:57.548098
316,0.55,0.12,-0.24,2025-09-26T18:29:57.856282
317,0.55,0.12,-0.24,2025-09-26T18:29:57.861813
318,0.55,0.06,-0.24,2025-09-26T18:29:58.162374
319,0.55,0.12,-0.24,2025-09-26T18:29:58.468011
320,0.55,0.12,-0.24,2025-09-26T18:29:58.472825
321,0.43,0.12,-0.24,2025-09-26T18:29:58.774599
322,0.55,0.12,-0.24,2025-09-26T18:29:59.083409
323,0.55,0.12,-0.24,2025-09-26T18:29:59.088566
324,0.55,0.12,-0.24,2025-09-26T18:29:59.389496
325,0.55,0.12,-0.24,2025-09-26T18:29:59.757993
326,0.55,0.06,-0.24,2025-09-26T18:29:59.760570
327,0.37,0.18,-0.31,2025-09-26T18:30:00.008339
328,0.61,0.06,-0.18,2025-09-26T18:30:00.369114
329,0.55,0.12,-0.24,2025-09-26T18:30:00.372507
330,0.55,0.06,-0.24,2025-09-26T18:30:00.668881
331,0.55,0.18,-0.24,2025-09-26T18:30:00.925942
332,0.55,0.12,-0.24,2025-09-26T18:30:00.929234
333,0.49,0.12,-0.18,2025-09-26T18:30:01.284334
334,0.55,0.06,-0.24,2025-09-26T18:30:01.541258
335,0.55,0.12,-0.24,2025-09-26T18:30:01.543108
336,0.49,0.12,-0.24,2025-09-26T18:30:01.897631
337,0.55,0.12,-0.24,2025-09-26T18:30:02.155952
338,0.55,0.12,-0.24,2025-09-26T18:30:02.158017
339,0.49,0.12,-0.24,2025-09-26T18:30:02.516763
340,0.55,0.06,-0.24,2025-09-26T18:30:02.819045
341,0.55,0.12,-0.24,2025-09-26T18:30:02.820609
342,0.55,0.12,-0.24,2025-09-26T18:30:03.077374
343,0.49,0.12,-0.24,2025-09-26T18:30:03.382659
344,0.49,0.12,-0.24,2025-09-26T18:30:03.385596
345,0.49,0.12,-0.24,2025-09-26T18:30:03.706727
346,0.55,0.12,-0.24,2025-09-26T18:30:04.018767
347,0.55,0.12,-0.24,2025-09-26T18:30:04.021311
348,0.55,0.12,-0.24,2025-09-26T18:30:04.304528
349,0.55,0.06,-0.24,2025-09-26T18:30:04.613481
350,0.49,0.12,-0.24,2025-09-26T18:30:04.615623
351,0.55,0.06,-0.24,2025-09-26T18:30:04.920065
352,0.49,0.12,-0.24,2025-09-26T18:30:05.244799
353,0.55,0.12,-0.24,2025-09-26T18:30:05.249211
354,0.49,0.06,-0.24,2025-09-26T18:30:05.541383
355,0.55,0.12,-0.18,2025-09-26T18:30:05.914295
356,0.55,0.12,-0.24,2025-09-26T18:30:05.918262
357,0.55,0.12,-0.24,2025-09-26T18:30:06.151680
