x,y,z,timestamp
0.55,0.06,-0.24,2025-09-26 16:58:28.647
0.55,0.06,-0.24,2025-09-26 16:58:29.142
0.55,0.12,-0.24,2025-09-26 16:58:29.196
0.55,0.12,-0.24,2025-09-26 16:58:29.344
0.55,0.12,-0.18,2025-09-26 16:58:29.499
0.55,0.12,-0.24,2025-09-26 16:58:29.600
0.49,0.12,-0.24,2025-09-26 16:58:29.645
0.55,0.12,-0.24,2025-09-26 16:58:29.795
0.55,0.12,-0.24,2025-09-26 16:58:29.892
0.49,0.12,-0.24,2025-09-26 16:58:29.948
0.55,0.06,-0.24,2025-09-26 16:58:30.042
0.55,0.12,-0.24,2025-09-26 16:58:30.294
0.55,0.12,-0.24,2025-09-26 16:58:30.499
0.55,0.12,-0.18,2025-09-26 16:58:30.549
0.55,0.12,-0.24,2025-09-26 16:58:30.646
0.55,0.06,-0.24,2025-09-26 16:58:30.699
0.55,0.06,-0.24,2025-09-26 16:58:30.837
0.55,0.12,-0.24,2025-09-26 16:58:30.947
0.55,0.12,-0.18,2025-09-26 16:58:30.994
0.55,0.06,-0.24,2025-09-26 16:58:31.093
0.55,0.12,-0.24,2025-09-26 16:58:31.202
0.55,0.12,-0.24,2025-09-26 16:58:31.340
0.55,0.12,-0.24,2025-09-26 16:58:31.448
0.55,0.06,-0.24,2025-09-26 16:58:31.491
0.55,0.06,-0.24,2025-09-26 16:58:31.536
0.55,0.06,-0.24,2025-09-26 16:58:31.593
0.55,0.06,-0.24,2025-09-26 16:58:31.634
0.55,0.12,-0.24,2025-09-26 16:58:31.684
0.55,0.12,-0.24,2025-09-26 16:58:31.735
0.55,0.12,-0.24,2025-09-26 16:58:31.784
0.55,0.12,-0.24,2025-09-26 16:58:31.836
0.55,0.12,-0.18,2025-09-26 16:58:31.983
0.55,0.06,-0.24,2025-09-26 16:58:32.039
0.55,0.06,-0.24,2025-09-26 16:58:32.148
0.49,0.12,-0.24,2025-09-26 16:58:32.240
0.55,0.06,-0.24,2025-09-26 16:58:32.339
0.49,0.06,-0.24,2025-09-26 16:58:32.442
0.55,0.06,-0.24,2025-09-26 16:58:32.541
0.55,0.12,-0.24,2025-09-26 16:58:32.584
0.55,0.12,-0.24,2025-09-26 16:58:32.651
0.55,0.06,-0.24,2025-09-26 16:58:33.001
0.55,0.06,-0.18,2025-09-26 16:58:33.034
0.55,0.06,-0.18,2025-09-26 16:58:33.348
0.55,0.12,-0.24,2025-09-26 16:58:33.688
0.55,0.06,-0.24,2025-09-26 16:58:33.735
0.55,0.12,-0.24,2025-09-26 16:58:33.983
0.55,0.12,-0.24,2025-09-26 16:58:34.037
0.55,0.12,-0.24,2025-09-26 16:58:34.593
0.55,0.06,-0.24,2025-09-26 16:58:34.693
0.55,0.06,-0.18,2025-09-26 16:58:34.841
0.49,0.06,-0.18,2025-09-26 16:58:36.747
0.55,0.12,-0.24,2025-09-26 16:58:37.049
0.55,0.06,-0.24,2025-09-26 16:58:37.150
0.55,0.12,-0.24,2025-09-26 16:58:37.345
0.49,0.06,-0.18,2025-09-26 16:58:37.641
0.55,0.12,-0.24,2025-09-26 16:58:37.941
0.55,0.06,-0.18,2025-09-26 16:58:38.097
0.61,0.12,-0.24,2025-09-26 16:58:38.398
0.55,0.06,-0.24,2025-09-26 16:58:38.599
0.55,0.12,-0.24,2025-09-26 16:58:38.645
0.55,0.06,-0.24,2025-09-26 16:58:38.700
